,Candidate Name
1,Dan Cameron
1,Andrew Murray Christie
1,Simon John Gibson
2,Jasleen Arora
2,Ron Gray
2,Darryl Plecas
3,Michael de Jong
3,Preet Rai
3,Lynn Simcox
4,Linda Margaret Larson
4,Colleen Ross
5,Elias Ishak
5,Anne Kang
5,Rick McGowan
5,Karen Xiao Bao Wang
6,Raj Chouhan
6,Garrison Duke
6,Valentine Wu
7,Katrina Chen
7,Steve Darling
7,Joe Keithley
8,Peter Hallschmid
8,Richard T. Lee
8,Janet Routledge
9,Donna Barnett
9,Rita Helen Giesbrecht
9,Sally Watson
10,Scott Elliott
10,Tony Goulet
10,Coralee Ella Oakes
11,Wayne Froese
11,John Martin
11,Ryan McKinnon
11,Tracey Lorrean O'Hara
12,Patti MacAhonic
12,Laurie Throness
13,Samson Boyer
13,Doug Clovechok
13,Justin James Hooles
13,Gerry Taft
14,Joan Isaacs
14,Jodie Wickens
15,Steve Kim
15,Selina Mae Robinson
15,Nicola Eyton Spurling
16,Jim Benninger
16,Ronna-Rae Leonard
16,Leah Catherine McCulloch
16,Ernie Sellentin
17,James Robert Anderson
17,Sonia Furstenau
17,Steve Housser
17,Lori Lynn Iannidinardo
17,Ian Morrison
18,Scott Hamilton
18,Ravi Kahlon
18,Jacquie Miller
19,Larry Colero
19,Ian Paton
19,Bruce Reid
19,Nicholas Wong
20,Mitzi Jayne Dean
20,Barb Desjardins
20,Andy MacKinnon
20,Josh Steffler
21,Arthur Alexander Green
21,Michael Henshall
21,Harry Lali
21,Jackie L. Tegart
22,Dan Hines
22,Peter Paul Kerek
22,Peter Gordon Milobar
22,Barb Nederpel
23,Nancy Bepple
23,Donovan Cavers
23,Beat Klossner
23,Todd Graham Stone
24,Norm Letnick
24,Alison Shaw
25,Charles Hardy
25,Steve Thomson
25,Rainer Wilkins
26,Christy Clark
26,Shelley Cook
26,Robert Mellalieu
26,Brian Thiesen
27,Keith D. Komar
27,Randal Macnair
27,Tom Glenn Shypitka
28,Katrine Conroy
28,Sam Troy
29,Scott Burton
29,John Horgan
29,Willie Nelson
29,Cathy Noel
29,Brendan Ralfs
30,Gail Chaddock-Costello
30,Mary Polak
31,Rich Coleman
31,Inder Johal
32,Bob D'Eith
32,Marc Dalton
32,Peter Pak Chiu Tam
33,Lisa Marie Beare
33,Doug Bing
33,Alex Pope
33,Steve Ranta
34,Scott Kenneth Fraser
34,Alicia La Rue
35,Paris Gaudet
35,Leonard Krog
35,Bill Walker
36,Alana DeLong
36,P. Anna Paddon
36,Doug Routley
36,Lia Marie Constance Versaevel
37,Jon Rempel
37,John Rustad
37,Anne Marie Sam
38,Kim Charlesworth
38,Michelle Mungall
38,Jesse O'Leary
38,Tom Prior
38,Tanya Rae Wall
39,Jonina Campbell
39,Judy Darcy
40,Herb Pond
40,Jennifer Rice
41,Sue Moen
41,Dallas William Smith
41,Claire Felicity Trevena
41,John M. Twigg
42,Bowinn Ma
42,Richard Warrington
42,Naomi Yamamoto
43,Michael Rene Charrois
43,Joshua Johnson
43,Jane Ann Thornthwaite
43,Clayton Welwood
44,Bryce Casavant
44,Alex Dutton
44,Andrew John Weaver
44,Jin Dong Yang-Riley
45,Terry Hand
45,Sue Powell
45,Glenn Sollitt
45,Michelle Stilwell
46,Dan Davies
46,Rob Dempsey
46,Bob Fedderly
46,Rob Fraser
46,Jeff Richert
47,Mike Bernier
47,Stephanie Goudie
48,Dan Ashton
48,Tarik Sayeed
49,Susan Chambers
49,Mike Farnworth
49,Billy Gibbons
49,Jason Hanley
50,Don Barthel
50,Rick Glumac
50,Linda Reimer
51,Kim Darwin
51,Reuben Richards
51,Nicholas Simons
51,Mathew Wilson
52,Bobby Deepak
52,Mike Morris
53,Shirley Bond
53,Natalie Fletcher
53,Nan Kendy
54,Lyren Chiu
54,John Crocock
54,Dong Pan
54,Teresa Wat
55,Lawrence Chen
55,Jas Johal
55,Aman Singh
56,Linda Reid
57,Kelly Greene
57,John Yap
58,Gary Holman
58,Adam Olsen
58,Stephen P. Roberts
58,Jordan Templeman
59,David Calder
59,Andrew Paul McLean
59,Mark Neufeld
59,Richard Percival Pattee
59,Lana Popham
60,Kevin Babcock
60,Gregory James Kyllo
60,Sylvia Jean Lindgren
61,Bruce Alan Bidgood
61,Ellis Ross
62,Doug Donaldson
62,Rod Taylor
63,Marvin Hunt
63,Aleksandra Muniak
63,Peter Poelstra
63,Rebecca Smith
64,Tim Binnema
64,Jagrup Brar
64,Peter Fassbender
65,Saira Aujla
65,Brenda Joy Locke
65,Rachna Singh
66,Garry Begg
66,Jodi Murphy
66,Amrik Virk
67,Harry Bains
67,Balpreet Singh Bal
68,Puneet Sandhar
68,Jinny Sims
69,Stephanie Cadieux
69,Gary Hee
69,Peter Njenga
69,Fabiola Cecilia Palomino
69,Jonathan Silveira
70,Sargy Chima
70,Bruce Ralston
71,Tom Bryant
71,Bill Marshall
71,Niovi Patsicakis
71,Tracy Redies
72,Joey Doyle
72,Gabe Garfinkel
72,George Heyman
73,James Filippelli
73,Morgane Oger
73,Sam Sullivan
74,Suzanne Anton
74,Harpreet S. Bajwa
74,George Chow
74,Eric Kolotyluk
75,Shane Lee Simpson
75,David H.T. Wong
76,Kim Jee Chan Logan
76,Mable Elmore
76,Simon Alexander Rear
77,Ellisa Calder
77,Adrian Dix
77,Trang Nguyen
78,Janet Rhoda Fraser
78,Michael Lee
78,Surinder Singh Trehan
78,James Wang
79,Jerry Kroll
79,Conny Lin
79,Melanie Mark
80,David Robert Patrick Eby
80,Amanda Konkin
80,James Lombardi
80,David Stall
81,Madeline Lalonde
81,Andrew Wilkinson
82,Spencer Chandra Herbert
82,Nigel Elliott
82,James Marshall
83,Barry Charles Dorval
83,Eric Bailey Foster
83,Don Jefcoat
83,Keli Westgate
84,Kalen Harris
84,Carole James
84,Art Lowe
85,Rob Fleming
85,Christopher Alan Maxwell
86,Michael Markwick
86,Mehdi Russel
86,Ralph Sultan
87,Tristan Andrew Galbraith
87,Michelle Livaja
87,Jordan Sturdy
87,Dana Moore Taylor